,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,num_samples,duration,end_of_fade_in,start_of_fade_out,loudness,tempo,tempo_confidence,time_signature,time_signature_confidence,key,key_confidence,mode,mode_confidence
61,70ECd4rOaE5aSNTPLMB8DS,0.459,0.864,1,-4.397,1,0.059,0.011,3.36e-06,0.314,0.623,74.867,4503492,204.24,0.06132,193.1668,-4.397,74.867,0.125,4,0.618,1,0.501,1,0.528
62,5JpI6jI6wKwk0wZJ6VN75b,0.554,0.755,2,-6.04,1,0.0319,0.225,0.0,0.301,0.624,77.962,4966836,225.25333,0.0,214.59302,-6.04,77.962,0.069,4,1.0,2,0.791,1,0.753
63,0IyIAxDXYOJMHLsTLrbOfy,0.572,0.949,4,-4.865,1,0.06,0.00165,0.000195,0.163,0.53,118.974,4296810,194.86667,0.29374,189.4342,-4.865,118.974,0.564,4,1.0,4,0.553,1,0.508
64,2UWFCFlnz7n4CD1hWZDyIw,0.493,0.772,7,-5.875,1,0.0452,0.456,3.2e-06,0.107,0.472,140.996,4512312,204.64,4.31891,196.67882,-5.875,140.996,0.853,4,0.991,7,0.718,1,0.771
65,7MJCMDMjIfy2uyhy0BmG4v,0.54,0.821,6,-3.789,1,0.0873,0.0397,0.0,0.423,0.685,148.798,3988992,180.90668,0.2024,177.65587,-3.789,148.798,0.625,4,1.0,6,0.753,1,0.604
66,14pAyQr2df47wNP0edKeAX,0.531,0.813,5,-5.517,1,0.0327,0.00807,0.0,0.359,0.79,154.134,4849236,219.92,2.76898,207.74313,-5.517,154.134,0.056,4,0.963,5,0.897,1,0.729
67,7oBSMKLGwAo1RNILzordRQ,0.466,0.7,4,-5.577,1,0.0431,0.302,0.0,0.0798,0.563,77.087,4394418,199.29333,0.0,188.83047,-5.577,77.087,0.339,4,0.978,4,0.497,1,0.565
68,2gw4p9rDwZTMpLDEFEQk3p,0.446,0.851,6,-4.74,1,0.0416,0.056,1.91e-05,0.264,0.666,84.928,4945668,224.29333,0.0,214.98776,-4.74,84.928,0.38,4,1.0,6,0.917,1,0.952
69,3xPEt3xIfaww7C0jeO5EoT,0.552,0.876,8,-4.268,1,0.0437,0.0121,0.0,0.152,0.734,121.979,5464578,247.82668,0.08027,235.5258,-4.268,121.979,0.959,4,0.648,8,0.802,1,0.671
70,1qF3tGI2bBOPm6G5pygE15,0.492,0.21,1,-10.658,1,0.0359,0.606,1.35e-06,0.109,0.368,153.017,4845120,219.73334,0.0,210.68045,-10.658,153.017,0.238,4,1.0,1,1.0,1,0.851
